j_name,seed,final_states,final_avg_p,track_count,stable_tracks,node_count,edge_count,component_count,largest_component,mean_degree,max_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,final_avg_memory,final_max_memory
linear_cutoff_0_35,3,120,0.10508971103527204,75,5,5,2,3,3,0.8,2,0.48196051147943164,0.7325785855145501,0.9767714473527336,1.4651571710291003,0.47305926952787225,0.5039450089011093
linear_cutoff_0_35,4,120,0.11116773425916208,75,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.4772741636320252,0.5037802859693944
linear_cutoff_0_35,5,120,0.11323796078200302,73,4,4,0,4,1,0,0,0.0,0.0,0.0,0.0,0.4821168964769578,0.5037802859693944
linear_cutoff_0_35,6,120,0.11633645645085754,65,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.47216739133600755,0.5027162725805205
linear_cutoff_0_35,7,120,0.10320649929081831,80,4,4,1,3,2,0.5,1,0.35385430574074145,1.0388700162688922,1.0388700162688922,1.0388700162688922,0.44639858712731617,0.5006939728559561
linear_cutoff_0_35,8,120,0.12332216298626834,57,3,3,1,2,2,0.6666666666666666,1,0.4309892833190694,0.8416720538764549,0.8416720538764549,0.8416720538764549,0.48065956710501373,0.5037802859693944
linear_cutoff_0_35,9,120,0.10723175008571009,67,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.47854667556218494,0.503883705064112
linear_cutoff_0_35,10,120,0.10499022634825438,69,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.48907348346003326,0.5038076335843764
linear_cutoff_0_35,11,120,0.12604779707107855,66,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.48560856527307933,0.5038563574491294
linear_cutoff_0_35,12,120,0.12958646458663195,82,3,3,1,2,2,0.6666666666666666,1,0.3154679691630957,1.1536981262020243,1.1536981262020243,1.1536981262020243,0.4731310406130961,0.4993292969152481
linear_cutoff_0_35,13,120,0.1238604666820164,69,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.48989987286687653,0.5037802859693944
linear_cutoff_0_35,14,120,0.11775372574446348,71,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.48935753315087804,0.5027162725805205
linear_cutoff_0_35,15,120,0.1111295975690642,69,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.4906598448282648,0.5037802859693944
linear_cutoff_0_35,16,120,0.1285298319816133,85,3,3,0,3,1,0,0,0.0,0.0,0.0,0.0,0.4753623225691328,0.5047668567422962
linear_cutoff_0_35,17,120,0.11539870957368942,96,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.475227136597925,0.5037802859693944
