seed,final_states,final_avg_p,avg_proto_distance,threshold,cluster_count,largest_cluster,mean_cluster_size,isolated_states,strong_joins,top_sizes
13,33,0.014969941605300649,3.1578302511920544,0.25,7,13,4.714285714285714,1,45,13 6 4 4 3 2 1
13,33,0.014969941605300649,3.1578302511920544,0.4,16,5,2.0625,7,23,5 5 3 3 2 2 2 2 2 1
13,33,0.014969941605300649,3.1578302511920544,0.6,22,5,1.5,15,12,5 3 2 2 2 2 2 1 1 1
13,33,0.014969941605300649,3.1578302511920544,0.8,30,2,1.1,27,3,2 2 2 1 1 1 1 1 1 1
14,32,0.012731501090873662,3.1894946561109356,0.15,1,32,32,0,75,32
14,32,0.012731501090873662,3.1894946561109356,0.25,5,19,6.4,0,39,19 5 4 2 2
14,32,0.012731501090873662,3.1894946561109356,0.4,16,4,2,5,19,4 3 3 3 2 2 2 2 2 2
14,32,0.012731501090873662,3.1894946561109356,0.6,24,4,1.3333333333333333,19,8,4 3 2 2 2 1 1 1 1 1
14,32,0.012731501090873662,3.1894946561109356,0.8,31,2,1.032258064516129,30,1,2 1 1 1 1 1 1 1 1 1
15,120,0.0710661888867721,1.9719559938052673,0.15,1,120,120,0,3909,120
15,120,0.0710661888867721,1.9719559938052673,0.25,1,120,120,0,2619,120
15,120,0.0710661888867721,1.9719559938052673,0.4,4,110,30,1,1355,110 6 3 1
15,120,0.0710661888867721,1.9719559938052673,0.6,19,96,6.315789473684211,14,470,96 4 2 2 2 1 1 1 1 1
15,120,0.0710661888867721,1.9719559938052673,0.8,58,28,2.0689655172413794,42,99,28 11 7 4 3 3 3 3 2 2
16,120,0.09880473486104786,1.505561481893223,0.15,1,120,120,0,5127,120
16,120,0.09880473486104786,1.505561481893223,0.25,1,120,120,0,3507,120
16,120,0.09880473486104786,1.505561481893223,0.4,3,118,40,2,1817,118 1 1
16,120,0.09880473486104786,1.505561481893223,0.6,3,118,40,2,618,118 1 1
16,120,0.09880473486104786,1.505561481893223,0.8,44,21,2.727272727272727,30,116,21 14 12 9 7 5 4 4 4 2
17,29,0.014109523452221249,3.2158954246324094,0.15,2,15,14.5,0,66,15 14
17,29,0.014109523452221249,3.2158954246324094,0.25,5,11,5.8,1,40,11 10 4 3 1
17,29,0.014109523452221249,3.2158954246324094,0.4,14,6,2.0714285714285716,7,17,6 3 3 3 3 2 2 1 1 1
17,29,0.014109523452221249,3.2158954246324094,0.6,24,2,1.2083333333333333,19,5,2 2 2 2 2 1 1 1 1 1
17,29,0.014109523452221249,3.2158954246324094,0.8,29,1,1,29,0,1 1 1 1 1 1 1 1 1 1
18,31,0.014439121245963412,3.1049482766588756,0.15,1,31,31,0,96,31
18,31,0.014439121245963412,3.1049482766588756,0.25,5,16,6.2,1,46,16 7 5 2 1
18,31,0.014439121245963412,3.1049482766588756,0.4,14,8,2.2142857142857144,8,21,8 6 3 2 2 2 1 1 1 1
18,31,0.014439121245963412,3.1049482766588756,0.6,25,4,1.24,21,6,4 2 2 2 1 1 1 1 1 1
18,31,0.014439121245963412,3.1049482766588756,0.8,31,1,1,31,0,1 1 1 1 1 1 1 1 1 1
19,34,0.014660219117685041,3.154598609506062,0.15,1,34,34,0,101,34
19,34,0.014660219117685041,3.154598609506062,0.25,5,27,6.8,2,62,27 3 2 1 1
19,34,0.014660219117685041,3.154598609506062,0.4,13,7,2.6153846153846154,5,29,7 6 6 2 2 2 2 2 1 1
19,34,0.014660219117685041,3.154598609506062,0.6,25,4,1.36,18,12,4 2 2 2 2 2 2 1 1 1
19,34,0.014660219117685041,3.154598609506062,0.8,33,2,1.0303030303030303,32,1,2 1 1 1 1 1 1 1 1 1
