j_name,seed,a5_init,final_states,stable_tracks,geo_score,node_count,edge_count,component_count,largest_component,mean_geodesic_d,max_geodesic_d,clustering_coeff,mean_edge_K,sparsity,diameter,e_per_n,regime,final_avg_memory
linf_exp,6,False,120,16,0.43817787489662474,16,13,5,6,1.6227574979324935,2.9362912664504655,0.1875,0.38041440304114593,0.8917,2.9363,0.812,geometrisch,0.4416478341723656
linf_exp,7,False,120,20,0.7250152185585785,20,30,2,18,3.0052377045049012,5.734311062463906,0.38166666666666665,0.3557106717832474,0.8421,5.7343,1.5,geometrisch,0.355184618463829
linf_exp,8,False,120,20,0.7518087512076607,20,34,2,19,2.945108357486546,5.893274357803907,0.40166666666666667,0.3950050493443041,0.8211,5.8933,1.7,geometrisch,0.4294597493414137
linf_exp,9,False,120,19,0.7168736578979977,19,37,3,15,2.283509248185519,5.872073511478224,0.5063909774436091,0.4159609798728655,0.7836,5.8721,1.947,geometrisch,0.4668570164109822
linf_exp,10,False,120,17,0.670495262665048,17,22,3,14,2.974987606242136,7.790825187627735,0.4235294117647059,0.43154510073718233,0.8382,7.7908,1.294,geometrisch,0.4431258326333563
linf_exp,11,False,120,11,0.567403631709522,11,11,2,10,3.4207999069177117,8.60525232397131,0.1818181818181818,0.348562132390742,0.8,8.6053,1.0,geometrisch,0.42812478536237975
linf_exp,12,False,120,20,0.6988236784073085,20,31,3,17,2.8359402348128353,6.866272214187404,0.3233333333333333,0.3722409384587787,0.8368,6.8663,1.55,geometrisch,0.4119527558982294
linf_exp,13,False,120,20,0.683938002186444,20,34,3,12,2.4743600437288773,6.903431202026795,0.53,0.37295706243873233,0.8211,6.9034,1.7,geometrisch,0.39583433225461684
linf_exp,14,False,120,17,0.5964450130773634,17,18,4,13,2.6816767321355024,5.488579164716489,0.2647058823529412,0.3767751490308464,0.8676,5.4886,1.059,geometrisch,0.43285254776825216
rational_p2,0,False,120,12,0.47327488939600487,12,13,4,5,1.5874977879200973,4.352675074805189,0.375,0.36535266666424326,0.803,4.3527,1.083,geometrisch,0.4206390143819329
rational_p2,1,False,120,13,0.43857850541541005,13,11,5,5,1.207672672410765,2.5922203874553134,0.358974358974359,0.5120330658779102,0.859,2.5922,0.846,geometrisch,0.44803428593472766
rational_p2,2,False,120,13,0.387794381907696,13,8,6,5,1.2696209714872526,2.207907309664169,0.16666666666666666,0.4617955684868674,0.8974,2.2079,0.615,geometrisch,0.4631590179957141
rational_p2,3,False,120,10,0.363497843454581,10,5,5,5,1.7143568690916196,3.5476341022951576,0.0,0.40921426695441415,0.8889,3.5476,0.5,geometrisch,0.47284829631767655
rational_p2,4,False,120,11,0.4132647980758738,11,6,7,5,1.0359383857598998,1.7685424649517167,0.3939393939393939,0.512317070473957,0.8909,1.7685,0.545,geometrisch,0.46114187669417767
rational_p2,5,False,120,6,0.37979176426345745,6,3,4,3,0.7958352852691485,1.1311411055597476,0.5,0.4706730410950428,0.8,1.1311,0.5,geometrisch,0.4558836364277406
rational_p2,6,False,120,11,0.4488337637425821,11,8,5,4,1.365281335457701,2.479246991387587,0.48484848484848486,0.37568233050772876,0.8545,2.4792,0.727,geometrisch,0.4455756724656616
rational_p2,7,False,120,13,0.32889650615270544,13,5,8,3,1.4643301230541084,2.7572525072889005,0.0,0.3390040262034152,0.9359,2.7573,0.385,unterkritisch,0.4111352016414242
rational_p2,8,False,120,17,0.6791387646213931,17,19,3,14,3.7408694100749207,9.03743860236094,0.3411764705882353,0.4689211689575122,0.8603,9.0374,1.118,geometrisch,0.4435370496909235
rational_p2,9,False,120,11,0.5226617487285292,11,14,4,7,1.5131137624493702,3.732976742259683,0.503030303030303,0.40557378256988386,0.7455,3.733,1.273,geometrisch,0.4651038541751757
