j_name,seed,final_states,final_avg_p,final_avg_memory,final_max_memory,track_count,stable_tracks,node_count,edge_count,density,component_count,largest_component,mean_degree,max_degree,degree_std,mean_weighted_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,closeness_mean,clustering_coefficient,triangle_count,effective_dim,mds_cumvar_top5,gromov_delta_max,gromov_delta_mean,gromov_samples,mean_K_asymmetry,prop_monotone,prop_gradual,prop_local,prop_continuous,prop_symmetric,prop_cutoff,prop_resonant,prop_random_like,prop_long_range,prop_norm_family,prop_comment,geometry_quality,icosahedrality,comath_property_score,classification
power,3,120,0.11308695807919814,0.4250432229187642,0.4802644835753649,140,19,19,27,0.15789473684210525,3,13,2.8421052631578947,6,1.4604670447906956,1.098729598539158,0.38659004393044455,0.984436293084643,2.3968094368654853,5.00663667831456,0.4146146290983527,0.3929824561403509,11,3,0.7275;0.8723;0.9507,0.8226114279852168,0.06943479072796742,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,1.0,0.6666774676891082,1.0,ICO_CANDIDATE
power,4,120,0.10609941103512575,0.4604695721438307,0.5047668567422962,130,16,16,24,0.2,3,10,3,6,1.5,1.2500757136165555,0.41669190453885185,0.9299348224510724,1.7979720512434194,4.266193839474308,0.6043258075645237,0.6354166666666666,14,2,0.756;0.917,0.49886598150847083,0.04534950313681938,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,1.0,0.7197755578903591,1.0,ICO_CANDIDATE
power,5,120,0.10602022830791889,0.45330978341471584,0.5047668567422962,126,14,14,10,0.10989010989010989,6,6,1.4285714285714286,4,1.1157499537009505,0.5788179181145683,0.4051725426801978,0.9433605627230098,1.6956727205050588,3.7868992173076013,0.7348555234905164,0.2619047619047619,2,5,0.4012;0.6298;0.7665;0.862;0.9575,4.440892098500626e-16,8.215650382226158e-17,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,0.9500000000000001,0.5529270648094291,1.0,ICO_CANDIDATE
power,6,120,0.09971614948218807,0.4280467592886251,0.48909783002974005,141,20,20,20,0.10526315789473684,9,5,2,4,1.4832396974191326,0.9589159605542946,0.4794579802771473,0.8065569143385304,1.0852205998053641,3.097574602480369,1.078399139480067,0.525,11,7,0.2893;0.5449;0.6688;0.7293;0.7898,0.272226681729246,0.09709783362053591,59,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,0.9618181818181818,0.5183484370626051,1.0,ICO_CANDIDATE
power,7,120,0.12222424831110518,0.34052994022965305,0.5047668567422962,149,20,20,24,0.12631578947368421,2,19,2.4,4,1.1135528725660044,0.9777620897160975,0.4074008707150406,0.9448462976837776,4.658442682708037,11.553758852543162,0.2143556360268316,0.3333333333333333,7,2,0.6465;0.939,0.17173441043764548,0.004944553733963182,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,0.9835294117647059,0.6127572955196211,1.0,ICO_CANDIDATE
power,8,120,0.12511883443129512,0.4230821854016326,0.5047668567422962,151,19,19,24,0.14035087719298245,6,10,2.526315789473684,5,1.7879250264697926,1.2613370166113693,0.4992792357420004,0.7541710844263454,1.8039498998262926,4.667966616360779,0.5017793461746793,0.4631578947368421,16,5,0.5321;0.7104;0.7902;0.87;0.9499,0.20357333179459425,0.019092919591165696,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,1.0,0.6321471484099688,1.0,ICO_CANDIDATE
power,9,120,0.08504994617434541,0.434465694214441,0.503092955128863,151,18,18,27,0.17647058823529413,3,13,3,6,1.7638342073763937,1.2169606723951902,0.4056535574650634,0.9447269220386207,2.3075423331741702,5.579773833372199,0.49919516770192696,0.17592592592592593,9,3,0.7328;0.8979;0.9743,0.8089206610204078,0.15604266654352403,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,1.0,0.6426916750083606,1.0,ICO_CANDIDATE
power,10,120,0.12177632330879533,0.413771226374403,0.5047668567422962,148,19,19,17,0.09941520467836257,7,8,1.7894736842105263,5,1.3602997877179037,0.7660622924845327,0.4280936340354742,0.8878120616107142,1.5869081828844869,3.6401446592346067,0.9211357156470209,0.26666666666666666,6,6,0.3601;0.5374;0.6732;0.8084;0.8895,0.21156799051050634,0.03125084743590308,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,0.9872727272727273,0.5223539752680715,1.0,ICO_CANDIDATE
power,11,120,0.11828793203110557,0.3541569365957456,0.5047668567422962,157,17,17,20,0.14705882352941177,3,7,2.3529411764705883,6,1.0256232808330996,0.976980306668723,0.4152166303342073,0.9071378434750453,1.915693231387634,5.371493590020256,0.6990616361938282,0.6431372549019608,6,2,0.6137;0.9468,0.21261110728474053,0.020863590732063446,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,1.0,0.600400155584493,1.0,ICO_CANDIDATE
power,12,120,0.09436629234022391,0.39422915120674534,0.4967682287265278,154,14,14,8,0.08791208791208792,7,4,1.1428571428571428,3,0.832993127835043,0.5095474026399218,0.44585397730993165,0.8745688747417704,1.1371848250635417,2.1773874492277994,0.7357373881498889,0.16666666666666666,1,6,0.2883;0.4988;0.6659;0.7786;0.8651,0.0,0.0,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,0.9172727272727274,0.496544966255786,1.0,ICO_CANDIDATE
