j_func,alpha,beta,r_theory,r_mean,r_between_seed_std,r_within_tail_std,r_abs_error,r_slope_tail,m_max_mean,edges_mean,largest_component_mean,ico_score_mean,ico_score_seed_std,class
linf_exp,0.4,0.5,1.3636363636363635,1.3636363636363629,0.0,0.0,6.661338147750939e-16,0.0,0.6818181818181814,66.0,12.0,0.41846858667572495,0.007201305918558202,analytic_tracking
linf_exp,0.5,0.5,1.5,1.4999999999999991,0.0,0.0,8.881784197001252e-16,0.0,0.7499999999999996,66.0,12.0,0.41846858667572495,0.0072013059185582545,analytic_tracking
linf_exp,0.6,0.5,1.6666666666666665,1.6666666666666656,0.0,0.0,8.881784197001252e-16,0.0,0.8333333333333328,66.0,12.0,0.41846858667572495,0.007201305918558264,analytic_tracking
linf_exp,0.7,0.5,1.875,1.874999999999999,0.0,0.0,1.1102230246251565e-15,0.0,0.9374999999999994,66.0,12.0,0.41846858667572495,0.007201305918558264,analytic_tracking
linf_exp,0.8,0.5,2.142857142857143,2.1428571428571406,0.0,0.0,2.220446049250313e-15,0.0,1.0714285714285703,66.0,12.0,0.41846858667572495,0.007201305918558243,analytic_tracking
linf_exp,0.9,0.5,2.5,2.499999999999991,0.0,1.0532359971455125e-14,8.881784197001252e-15,5.396527107038736e-16,1.2499999999999987,66.0,12.0,0.41846858667572495,0.00720130591855827,analytic_tracking
linf_exp,0.0,1.0,1.0,0.9999999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.4999999999999998,66.0,12.0,0.41846858667572495,0.007201305918558249,stable_horizon
linf_exp,0.005,1.0,1.0025062656641603,1.00250626566416,0.0,0.0,4.440892098500626e-16,0.0,0.50125313283208,66.0,12.0,0.41846858667572495,0.007201305918558245,stable_horizon
linf_exp,0.0072973525205055605,1.0,1.0036620378508232,1.0036620378508228,0.0,0.0,4.440892098500626e-16,0.0,0.5018310189254114,66.0,12.0,0.41846858667572495,0.007201305918558213,stable_horizon
linf_exp,0.02,1.0,1.0101010101010102,1.0101010101010097,0.0,0.0,4.440892098500626e-16,0.0,0.5050505050505049,66.0,12.0,0.41846858667572495,0.007201305918558289,stable_horizon
linf_exp,0.05,1.0,1.0256410256410258,1.0256410256410253,0.0,0.0,4.440892098500626e-16,0.0,0.5128205128205127,66.0,12.0,0.418468586675725,0.007201305918558277,stable_horizon
linf_exp,0.1,1.0,1.0526315789473684,1.052631578947368,0.0,0.0,4.440892098500626e-16,0.0,0.526315789473684,66.0,12.0,0.41846858667572495,0.007201305918558289,analytic_tracking
linf_exp,0.2,1.0,1.1111111111111112,1.1111111111111107,0.0,0.0,4.440892098500626e-16,0.0,0.5555555555555554,66.0,12.0,0.41846858667572495,0.007201305918558229,analytic_tracking
linf_exp,0.3,1.0,1.1764705882352942,1.1764705882352937,0.0,0.0,4.440892098500626e-16,0.0,0.5882352941176469,66.0,12.0,0.41846858667572495,0.007201305918558246,analytic_tracking
linf_exp,0.4,1.0,1.25,1.2499999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.6249999999999998,66.0,12.0,0.4184685866757249,0.007201305918558252,analytic_tracking
linf_exp,0.5,1.0,1.3333333333333333,1.3333333333333328,0.0,0.0,4.440892098500626e-16,0.0,0.6666666666666664,66.0,12.0,0.41846858667572495,0.007201305918558248,analytic_tracking
linf_exp,0.6,1.0,1.4285714285714286,1.428571428571428,0.0,0.0,6.661338147750939e-16,0.0,0.714285714285714,66.0,12.0,0.41846858667572495,0.00720130591855823,analytic_tracking
linf_exp,0.7,1.0,1.5384615384615383,1.5384615384615377,0.0,0.0,6.661338147750939e-16,0.0,0.7692307692307688,66.0,12.0,0.41846858667572495,0.007201305918558227,analytic_tracking
linf_exp,0.8,1.0,1.6666666666666667,1.666666666666666,0.0,0.0,6.661338147750939e-16,0.0,0.833333333333333,66.0,12.0,0.41846858667572495,0.007201305918558264,analytic_tracking
linf_exp,0.9,1.0,1.8181818181818181,1.8181818181818175,0.0,0.0,6.661338147750939e-16,0.0,0.9090909090909087,66.0,12.0,0.418468586675725,0.007201305918558255,analytic_tracking
linf_exp,0.0,2.0,1.0,0.9999999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.4999999999999998,66.0,12.0,0.41846858667572495,0.007201305918558249,stable_horizon
